,zipcode,geo_id,year,maxNaics_est,y_pred,Naics_score,pedestrian_scaled,vehicle_scaled,sentiment_score,ratings,estabratio,final_score
11,97230,41051010100,2017,42,62,5,2.791274366794854,2.8132729408915518,1.5622500000000001,5.0,1.0,5.589783786980433
311,97230,41051009606,2017,42,62,5,2.791274366794854,2.8132729408915518,1.4350714285714286,4.357142857142857,1.0669607900780866,5.373453041070393
196,97218,41051003603,2017,42,72,5,2.791274366794854,2.8132729408915518,1.59534375,4.0625,1.006113437703191,5.313385998581415
298,97230,41051009502,2017,42,62,5,2.791274366794854,2.8132729408915518,1.1219700000000001,4.3,1.1376416240494,5.281279671303325
15,97230,41051010200,2017,42,62,5,2.791274366794854,2.8132729408915518,0.7288645833333331,4.166666666666667,1.639847549635049,5.273823417637372
242,97218,41051007500,2017,42,62,5,2.791274366794854,2.8132729408915518,1.2559537037037032,4.0740740740740735,1.1271595042263762,5.249764489135557
179,97218,41051003000,2017,42,72,5,2.791274366794854,2.8132729408915518,0.9551931818181822,4.318181818181818,1.0330125635972323,5.20336457577958
307,97230,41051009501,2017,42,62,5,2.791274366794854,2.8132729408915518,0.7106250000000001,4.5,1.0706808339713136,5.195647120510068
256,97230,41051008100,2017,42,62,5,2.791274366794854,2.8132729408915518,0.8942160804020093,4.2889447236180915,1.0204602414127486,5.171744108652079
204,97230,41051007300,2017,42,62,5,2.791274366794854,2.8132729408915518,0.6319533747779754,3.623445825932504,1.805389502883652,5.127795695778627
202,97218,41051007300,2017,42,62,5,2.791274366794854,2.8132729408915518,0.6319533747779754,3.623445825932504,1.6357975211318811,5.075613547547312
310,97230,41051009605,2017,42,62,5,2.791274366794854,2.8132729408915518,0.8105,3.5454545454545454,1.3050435992446163,5.004783216118636
302,97230,41051009301,2017,42,62,5,2.791274366794854,2.8132729408915518,0.5027777777777779,4.0,1.0372004389322702,4.967546315198908
296,97230,41051008002,2017,42,62,5,2.791274366794854,2.8132729408915518,0.7270625,3.625,1.0223202633593622,4.916593868014083
7,97230,41051009603,2017,42,62,5,2.791274366794854,2.8132729408915518,-0.42455,4.7,1.0930010973306759,4.914768740005256
308,97230,41051009604,2017,42,62,5,2.791274366794854,2.8132729408915518,1.0376833333333333,3.1,1.202742392180873,4.906145548677111
306,97230,41051009400,2017,42,62,5,2.791274366794854,2.8132729408915518,0.587735294117647,3.5882352941176467,1.0874210314908352,4.882442746896165
220,97218,41051002701,2017,42,54,5,2.791274366794854,2.8132729408915518,0.0,4.166666666666667,1.0868108153853147,4.879392242996428
271,97218,41051007400,2017,42,72,5,2.791274366794854,2.8132729408915518,0.0,4.166666666666667,1.0843654403040381,4.878639819894496
272,97218,41051007600,2017,42,62,5,2.791274366794854,2.8132729408915518,0.0,4.166666666666667,1.0831427527633999,4.878263608343531
3,97014,41051010500,2017,42,72,5,2.791274366794854,2.8132729408915518,0.0,4.166666666666667,1.0214205287517824,4.859272154801494
237,97218,41051002901,2017,42,62,5,2.791274366794854,2.8132729408915518,0.0,4.166666666666667,1.0097815003251058,4.855690915285594
293,97230,41051007900,2017,42,62,5,2.791274366794854,2.8132729408915518,0.0,4.166666666666667,1.0,4.852681222877869
304,97230,41051009302,2017,42,62,5,2.791274366794854,2.8132729408915518,0.6094999999999999,2.9375,1.1432216898892407,4.706082768484815
