,zipcode,geo_id,year,maxNaics_est,y_pred,Naics_score,pedestrian_scaled,vehicle_scaled,sentiment_score,ratings,centroid,geometry,estabratio,final_score
82,97204,41051010600,2017,54,54,10,2.791274366794854,2.8132729408915518,1.0611988472622476,4.129682997118156,POINT (-122.6761276296978 45.5186862129659),"MULTIPOLYGON (((-122.6848688715688 45.51920967770586, -122.6841518775658 45.52053268062804, -122.6831008863662 45.52247368492588, -122.6831438889637 45.5229256848942, -122.681605886146 45.52294569043131, -122.6811198853596 45.52297069218629, -122.6774098786616 45.52303670554979, -122.6743948732372 45.52309371641238, -122.6670918589341 45.52302274265931, -122.6686518316401 45.51758673524972, -122.6704158098259 45.51306472748016, -122.673885820965 45.5138777153908, -122.6747168199935 45.51341871229209, -122.6787408338018 45.51452169829464, -122.683267849185 45.51573568249704, -122.6863058595203 45.51655267187107, -122.6848688715688 45.51920967770586)))",5.0,7.937055123712865
83,97205,41051010600,2017,54,54,10,2.791274366794854,2.8132729408915518,1.0611988472622476,4.129682997118156,POINT (-122.6761276296978 45.5186862129659),"MULTIPOLYGON (((-122.6848688715688 45.51920967770586, -122.6841518775658 45.52053268062804, -122.6831008863662 45.52247368492588, -122.6831438889637 45.5229256848942, -122.681605886146 45.52294569043131, -122.6811198853596 45.52297069218629, -122.6774098786616 45.52303670554979, -122.6743948732372 45.52309371641238, -122.6670918589341 45.52302274265931, -122.6686518316401 45.51758673524972, -122.6704158098259 45.51306472748016, -122.673885820965 45.5138777153908, -122.6747168199935 45.51341871229209, -122.6787408338018 45.51452169829464, -122.683267849185 45.51573568249704, -122.6863058595203 45.51655267187107, -122.6848688715688 45.51920967770586)))",3.7477197870144887,7.551738135101938
102,97214,41051001101,2017,54,54,10,2.791274366794854,2.8601919336381325,1.2669139344262292,4.245901639344262,POINT (-122.6609294969871 45.51316099518984),"MULTIPOLYGON (((-122.6686518316401 45.51758673524972, -122.6652898234809 45.51727174715995, -122.6652968352149 45.51937674786, -122.6577398206745 45.51935077492058, -122.6536288127708 45.51933778964129, -122.6495708049626 45.51932380417131, -122.6495997811882 45.51504580232076, -122.6495997652906 45.51219180115551, -122.653673773128 45.51220478668594, -122.6628047907098 45.51223675425496, -122.6627587693399 45.50841475306245, -122.6618807576649 45.50661875552485, -122.6618667480103 45.5048897549546, -122.661814738105 45.50312875450628, -122.6611527277322 45.50149275624283, -122.6651017335168 45.5011787422757, -122.6651137432614 45.50292474283632, -122.6685617796018 45.50827073248621, -122.6704158098259 45.51306472748016, -122.6686518316401 45.51758673524972)))",3.2573630150806836,7.514352273625895
151,97209,41051005100,2017,54,54,10,2.791274366794854,2.8132729408915518,1.0065504987531164,4.2618453865336665,POINT (-122.6774213967558 45.52892204019181),"MULTIPOLYGON (((-122.6859319649592 45.53562767817628, -122.6832679726299 45.53791668851637, -122.678035947983 45.53527670688007, -122.6739439217216 45.5319577207763, -122.6690018881706 45.5276207373036, -122.6677838810637 45.52676074141996, -122.6670918589341 45.52302274265931, -122.6743948732372 45.52309371641238, -122.6774098786616 45.52303670554979, -122.6811198853596 45.52297069218629, -122.681605886146 45.52294569043131, -122.6831438889637 45.5229256848942, -122.6828058917093 45.52353468627625, -122.6832619090734 45.5264986854395, -122.6835179452789 45.5329166862502, -122.6855289488887 45.53287767892554, -122.6859319649592 45.53562767817628)))",3.0812100460261576,7.370508688922876
277,97219,41051006403,2017,54,54,10,2.791274366794854,2.8132729408915518,1.660027777777778,4.833333333333333,POINT (-122.7210117939218 45.44740053281531),"MULTIPOLYGON (((-122.7311945339708 45.44724743681279, -122.727415558004 45.45217745519004, -122.7247715615909 45.45345046509327, -122.7233855611371 45.45373146974309, -122.7209715573337 45.45371847711013, -122.7210775568527 45.4536104766248, -122.7196055540936 45.45352848100377, -122.7162745520953 45.45405749200246, -122.7101285619123 45.45734151606716, -122.7114125550619 45.45583650971111, -122.7127795439587 45.4535945019805, -122.7128504954892 45.44536648884983, -122.7128524914183 45.44467648776096, -122.712801470326 45.44111648232364, -122.7270614907983 45.4410964403864, -122.7270624950892 45.44180944140534, -122.7310635008948 45.44181042962165, -122.7310775223722 45.4453584345289, -122.7310895329735 45.4471084369337, -122.7311945339708 45.44724743681279)))",1.7879056136519405,7.349481240753679
46,97219,41051006402,2017,54,54,10,2.791274366794854,2.8132729408915518,2.256,5.0,POINT (-122.6975468003316 45.44392130055079),"MULTIPOLYGON (((-122.7123324241301 45.43340147155528, -122.7112004282962 45.43437447634085, -122.7102864280016 45.43454047923253, -122.7089294282853 45.43491048372967, -122.7088464400145 45.43692748721168, -122.710226444374 45.43733748386522, -122.7102264444976 45.43735848389871, -122.7080674469405 45.43829549167954, -122.7096474603158 45.44018849010794, -122.7102254612228 45.44020148843514, -122.7128194650563 45.44021948086266, -122.712801470326 45.44111648232364, -122.7128524914183 45.44467648776096, -122.7128504954892 45.44536648884983, -122.7127795439587 45.4535945019805, -122.7114125550619 45.45583650971111, -122.7101285619123 45.45734151606716, -122.7050945582124 45.45806253282972, -122.699701550946 45.45827654991811, -122.6990215542707 45.45903555332028, -122.6965005474965 45.45855456033198, -122.6957605256829 45.45497655642873, -122.6918165141743 45.45403856688245, -122.6884124879333 45.45036557068299, -122.68711846459 45.44661556779012, -122.682597440766 45.44359757570324, -122.6803504246333 45.44132357808292, -122.6800804148649 45.43966257574827, -122.6783503939123 45.43638257457579, -122.677796391225 45.43604357553282, -122.6758783848049 45.43537957979887, -122.6755113825411 45.4350675802559, -122.6738443713869 45.43349058199362, -122.673309366726 45.4327895821609, -122.6755703702468 45.43286157583528, -122.6818913788167 45.43283555771028, -122.6856323845326 45.43293354719226, -122.6865933857388 45.43291254440513, -122.6947603975408 45.43300552120763, -122.6973804013303 45.43303551376299, -122.6985934030048 45.43303551029209, -122.7018064074402 45.43303550109835, -122.7019994077939 45.4330505005712, -122.7033024094878 45.43303249681268, -122.7050194118522 45.43303149189803, -122.7149234257072 45.43306246360694, -122.7123324241301 45.43340147155528)))",1.0075518109934691,7.344030498055346
45,97035,41051006402,2017,54,54,10,2.791274366794854,2.8132729408915518,2.256,5.0,POINT (-122.6975468003316 45.44392130055079),"MULTIPOLYGON (((-122.7123324241301 45.43340147155528, -122.7112004282962 45.43437447634085, -122.7102864280016 45.43454047923253, -122.7089294282853 45.43491048372967, -122.7088464400145 45.43692748721168, -122.710226444374 45.43733748386522, -122.7102264444976 45.43735848389871, -122.7080674469405 45.43829549167954, -122.7096474603158 45.44018849010794, -122.7102254612228 45.44020148843514, -122.7128194650563 45.44021948086266, -122.712801470326 45.44111648232364, -122.7128524914183 45.44467648776096, -122.7128504954892 45.44536648884983, -122.7127795439587 45.4535945019805, -122.7114125550619 45.45583650971111, -122.7101285619123 45.45734151606716, -122.7050945582124 45.45806253282972, -122.699701550946 45.45827654991811, -122.6990215542707 45.45903555332028, -122.6965005474965 45.45855456033198, -122.6957605256829 45.45497655642873, -122.6918165141743 45.45403856688245, -122.6884124879333 45.45036557068299, -122.68711846459 45.44661556779012, -122.682597440766 45.44359757570324, -122.6803504246333 45.44132357808292, -122.6800804148649 45.43966257574827, -122.6783503939123 45.43638257457579, -122.677796391225 45.43604357553282, -122.6758783848049 45.43537957979887, -122.6755113825411 45.4350675802559, -122.6738443713869 45.43349058199362, -122.673309366726 45.4327895821609, -122.6755703702468 45.43286157583528, -122.6818913788167 45.43283555771028, -122.6856323845326 45.43293354719226, -122.6865933857388 45.43291254440513, -122.6947603975408 45.43300552120763, -122.6973804013303 45.43303551376299, -122.6985934030048 45.43303551029209, -122.7018064074402 45.43303550109835, -122.7019994077939 45.4330505005712, -122.7033024094878 45.43303249681268, -122.7050194118522 45.43303149189803, -122.7149234257072 45.43306246360694, -122.7123324241301 45.43340147155528)))",1.0042714999946352,7.343021171594166
44,97034,41051006402,2017,54,54,10,2.791274366794854,2.8132729408915518,2.256,5.0,POINT (-122.6975468003316 45.44392130055079),"MULTIPOLYGON (((-122.7123324241301 45.43340147155528, -122.7112004282962 45.43437447634085, -122.7102864280016 45.43454047923253, -122.7089294282853 45.43491048372967, -122.7088464400145 45.43692748721168, -122.710226444374 45.43733748386522, -122.7102264444976 45.43735848389871, -122.7080674469405 45.43829549167954, -122.7096474603158 45.44018849010794, -122.7102254612228 45.44020148843514, -122.7128194650563 45.44021948086266, -122.712801470326 45.44111648232364, -122.7128524914183 45.44467648776096, -122.7128504954892 45.44536648884983, -122.7127795439587 45.4535945019805, -122.7114125550619 45.45583650971111, -122.7101285619123 45.45734151606716, -122.7050945582124 45.45806253282972, -122.699701550946 45.45827654991811, -122.6990215542707 45.45903555332028, -122.6965005474965 45.45855456033198, -122.6957605256829 45.45497655642873, -122.6918165141743 45.45403856688245, -122.6884124879333 45.45036557068299, -122.68711846459 45.44661556779012, -122.682597440766 45.44359757570324, -122.6803504246333 45.44132357808292, -122.6800804148649 45.43966257574827, -122.6783503939123 45.43638257457579, -122.677796391225 45.43604357553282, -122.6758783848049 45.43537957979887, -122.6755113825411 45.4350675802559, -122.6738443713869 45.43349058199362, -122.673309366726 45.4327895821609, -122.6755703702468 45.43286157583528, -122.6818913788167 45.43283555771028, -122.6856323845326 45.43293354719226, -122.6865933857388 45.43291254440513, -122.6947603975408 45.43300552120763, -122.6973804013303 45.43303551376299, -122.6985934030048 45.43303551029209, -122.7018064074402 45.43303550109835, -122.7019994077939 45.4330505005712, -122.7033024094878 45.43303249681268, -122.7050194118522 45.43303149189803, -122.7149234257072 45.43306246360694, -122.7123324241301 45.43340147155528)))",1.0,7.34170686390351
280,97219,41051006502,2017,54,54,10,2.791274366794854,2.8132729408915518,1.4146547619047616,4.714285714285714,POINT (-122.7135130755602 45.46179661081931),"MULTIPOLYGON (((-122.7245256072254 45.46112447703045, -122.7236436125446 45.4622484814395, -122.7231536156398 45.4628974839333, -122.7231676429318 45.46745349058907, -122.7153496297656 45.46741051547278, -122.7146946285479 45.46738751752717, -122.7059376063688 45.46606754330932, -122.6990165888772 45.46500856350235, -122.6973365862565 45.46502956886057, -122.695729586714 45.46556357487749, -122.6932565901529 45.46686558501296, -122.6943165877297 45.46614158037116, -122.697348583333 45.46452056794805, -122.7101285619123 45.45734151606716, -122.7162745520953 45.45405749200246, -122.7196055540936 45.45352848100377, -122.7210775568527 45.4536104766248, -122.7209715573337 45.45371847711013, -122.7204085619692 45.45464148021447, -122.7202935742709 45.45673448370288, -122.7225055956777 45.45973448130157, -122.72452260219 45.46028547581695, -122.7253296048938 45.46052147363912, -122.7245256072254 45.46112447703045)))",1.9867699698132928,7.298540847289284
244,97214,41051001301,2017,54,54,10,4.6947248375547,2.5734919071291658,1.1455243902439025,3.987804878048781,POINT (-122.628855055694 45.51567236188188),"MULTIPOLYGON (((-122.634824776772 45.51930585698213, -122.6309287693225 45.51930087093466, -122.6283417644836 45.5193168802088, -122.6230057541571 45.51928789930689, -122.6229307344879 45.51578489776538, -122.6229077261608 45.51429889707941, -122.6228227133955 45.5120378962128, -122.6282087237449 45.51205287708748, -122.6295777263654 45.51205487222527, -122.6347707363134 45.512063853782, -122.6347787527563 45.51501185513489, -122.6347797568094 45.51573885547197, -122.634824776772 45.51930585698213)))",1.2930312744104737,7.2906391653498535
