,Unnamed: 0,Unnamed: 0.1,zipcode,maxNaics_est,totalEstab,maxNaics_emp,totalEmp,year,total_tran,pop,edut,households,income,gini,ratio_65,ratio_22_50,bus_ratio,bus_ratio_total,public_ratio,car_ratio,bicy_ratio,walked_ratio,total_college,college_ratio,college_ratio_pop,diff_MaxtotalEstab,diff_MaxtotalEmp
0,0,0,91901,23,91,71,1770,2010,11346.0,25517.0,17324.0,642.0,8543.0,2.565,0.372144060822197,0.10255907826155113,1.0,0.009518773135906928,0.009518773135906928,0.8923849814912744,0.0005288207297726071,0.021152829190904283,2532.0,0.14615562225813902,0.09922796566994553,1.0,10.0
1,1,5308,91901,23,90,71,1760,2011,11114.0,26126.0,18174.0,671.0,8609.0,2.6121,0.3600627727168338,0.12837786113450206,1.0,0.012956631275868274,0.012956631275868274,0.8923879791254274,0.0005398596364945117,0.018175274428648552,2584.0,0.1421811378892924,0.0989053050600934,2.0,0.0
2,2,10616,91901,23,88,71,1760,2012,11018.0,26812.0,18897.0,714.0,8723.0,2.6816,0.35308816947635385,0.14161569446516487,1.0,0.0068070430205118895,0.0068070430205118895,0.8993465238700309,0.002632056634597931,0.017607551279724087,2905.0,0.15372810499021008,0.10834700880202894,4.0,-180.0
3,3,15924,91901,23,84,23,1940,2013,11448.0,27840.0,19161.0,761.0,8861.0,2.6846,0.3598060344827586,0.14353448275862069,0.7875,0.00550314465408805,0.0069881201956673656,0.9049615653389238,0.001310272536687631,0.021226415094339614,2827.0,0.14753927248055948,0.10154454022988506,-2.0,-240.0
4,4,21232,91901,23,86,72,2180,2014,11626.0,29260.0,19917.0,825.0,9005.0,2.5982,0.3466848940533151,0.15034176349965825,0.7142857142857143,0.003010493720970239,0.004214691209358335,0.9102872871150868,0.0003440564252537416,0.021417512472045416,2967.0,0.1489682181051363,0.10140123034859876,-8.0,-40.0
5,5,26540,91901,23,94,72,2220,2015,11914.0,29906.0,20487.0,869.0,9130.0,2.5044,0.34354310171871866,0.1503042867651976,0.5918367346938775,0.004868222259526607,0.008225616921269096,0.9060768843377541,0.00033573946617424877,0.014184992445862013,3066.0,0.14965587933811686,0.10252123319735172,-1.0,-40.0
6,6,31848,91901,23,95,72,2260,2016,12123.0,30245.0,20670.0,880.0,9143.0,2.5133,0.3431310960489337,0.14984294924780955,0.6068376068376068,0.0058566361461684395,0.009651076466221232,0.8872391322279963,0.00041243916522312957,0.013857955951497157,3111.0,0.15050798258345427,0.10285997685567863,-8.0,950.0
7,7,37156,91901,23,103,23,1310,2017,12288.0,30008.0,20517.0,865.0,9155.0,2.4772,0.3529392162090109,0.1500933084510797,0.6887417218543046,0.008463541666666666,0.012288411458333334,0.8870442708333334,0.0,0.012451171875,3205.0,0.15621192182092902,0.10680485203945614,0.0,0.0
8,8,1,91902,54,50,62,880,2010,14936.0,33480.0,21847.0,740.0,10716.0,2.559,0.3500597371565113,0.1345878136200717,0.8483754512635379,0.015733797536154257,0.0185457953936797,0.9282271023031602,0.0020755222281735406,0.007096946973754688,4917.0,0.22506522634686685,0.14686379928315413,3.0,40.0
9,9,5309,91902,54,47,62,840,2011,14853.0,33286.0,22166.0,751.0,10795.0,2.5570000000000004,0.35816859941116386,0.1426125097638647,0.705,0.009493031710765504,0.013465293206759578,0.916111223321888,0.0033663233016898945,0.009762337574900694,5147.0,0.23220247225480464,0.15462957399507302,-1.0,-20.0
10,10,10617,91902,23,48,62,860,2012,14920.0,33573.0,22572.0,770.0,10702.0,2.6289,0.34882197003544513,0.14836326810234415,0.7133757961783439,0.007506702412868633,0.010522788203753351,0.9160857908847184,0.0018766756032171587,0.012801608579088472,5086.0,0.22532340953393584,0.15149078128257826,-2.0,-100.0
11,11,15925,91902,54,50,62,960,2013,15238.0,33933.0,22869.0,793.0,10695.0,2.7944,0.3541979783691392,0.14558099784870185,0.7906976744186046,0.011156319726998295,0.014109463184144903,0.9135057094106838,0.0015750098438115235,0.011746948418427616,5124.0,0.22405876951331494,0.15100344797100168,-2.0,-50.0
